Lender,Max_loan_amount
Bank of Big - Premier Option,300000,0.85,0.47,740,3.6
FHA Fredie Mac - Premier Option,600000,0.9,0.43,790,3.6
FHA Fannie Mae - Premier Option,500000,0.9,0.47,780,3.6
Bank of Fintech - Premier Option,300000,0.9,0.47,740,3.15
iBank - Premier Option,500000,0.85,0.46,780,3.15
Goldman MBS - Premier Option,500000,0.8,0.4,770,3.6
Citi MBS - Premier Option,400000,0.9,0.47,780,3.6
Prosper MBS - Premier Option,400000,0.85,0.42,750,3.45
Developers Credit Union - Premier Option,300000,0.85,0.47,770,3.45
Bank of Stodge & Stiff - Premier Option,500000,0.9,0.41,790,3.15
West Central Credit Union - Starter Plus,300000,0.8,0.44,650,3.9
FHA Fredie Mac - Starter Plus,300000,0.85,0.45,550,4.35
iBank - Starter Plus,300000,0.9,0.4,620,3.9
Developers Credit Union - Starter Plus,200000,0.85,0.46,640,4.2
